#OTUID	C_2	C_34	C_36	C_49	P10_11	P10_13	P10_18	P10_54	P10_55	P10_57	P20_1	P20_3	P20_16	P20_37	P20_41	P20_52	W10_14	W10_15	W10_21	W10_31	W10_33	W10_53	W20_4	W20_8	W20_23	W20_50	W20_51	W20_56	taxonomy
26	988666.6667	1083666.667	809333.3333	1280000	2670000	1061333.333	350333.3333	829666.6667	1097000	1001666.667	742000	1140000	396333.3333	692000	874000	1114000	1063666.667	621666.6667	562000	1950000	2020000	726000	720333.3333	415000	78066.66667	77433.33333	49600	843666.6667	 26S proteasome non-ATPase regulatory subunit 2 isoform 1 [Homo sapiens]
27	0	312466.6667	0	103400	94300	6466.666667	22633.33333	69100	0	291333.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 26S proteasome non-ATPase regulatory subunit 3 [Homo sapiens]
28	0	1387000	0	459666.6667	603000	2040000	0	2860500	1162333.333	522333.3333	780000	369333.3333	35666.66667	2221000	556666.6667	288000	828166.6667	0	75333.33333	278500	302000	2030500	0	0	0	0	0	0	 26S proteasome non-ATPase regulatory subunit 5 isoform 2 [Homo sapiens]
29	1292666.667	1800000	1170333.333	815666.6667	1834666.667	692666.6667	1470500	371000	768666.6667	698666.6667	1334666.667	369333.3333	336333.3333	803666.6667	878666.6667	1512333.333	1126666.667	1570000	1840666.667	1876666.667	681666.6667	1359333.333	1180000	528000	356666.6667	374000	107250	80000	 26S proteasome non-ATPase regulatory subunit 6 isoform 2 [Homo sapiens]
30	800666.6667	839333.3333	896000	731666.6667	1480000	777000	451000	549000	1039000	1710000	998333.3333	1089333.333	721333.3333	782333.3333	715000	942333.3333	704666.6667	697333.3333	625666.6667	1296666.667	1696666.667	988666.6667	818000	679666.6667	264666.6667	295000	166333.3333	407333.3333	 26S proteasome non-ATPase regulatory subunit 7 [Homo sapiens]
31	0	0	0	0	3306666.667	0	282500	85000	141000	49333.33333	0	0	0	0	0	0	140500	171900	0	385000	2530000	0	58333.33333	181666.6667	0	88833.33333	144450	62366.66667	 26S proteasome non-ATPase regulatory subunit 8 [Homo sapiens]
32	0	343333.3333	3350000	3676666.667	1850000	3473333.333	2460000	1020000	2993333.333	363333.3333	0	0	0	0	0	0	1426500	716666.6667	1990000	1170000	1340000	1983333.333	1289000	1191500	2126666.667	1164000	86000	458000	" 28S ribosomal protein S5, mitochondrial [Homo sapiens]"
33	1703000	1813666.667	1880000	1922333.333	3813333.333	1890000	940000	1440000	1993333.333	5740000	745333.3333	1356666.667	1136333.333	879333.3333	713000	507500	2036666.667	707000	1403000	1633333.333	1752333.333	756000	727333.3333	560500	151866.6667	263333.3333	332000	997000	 3-hydroxyacyl-CoA dehydrogenase type-2 isoform 1 [Homo sapiens]
34	0	243500	2633333.333	3506000	899666.6667	6072666.667	979000	3364500	644000	526666.6667	474000	895000	707000	2247166.667	417250	0	2156666.667	1750500	453333.3333	1100000	4016666.667	4110000	4780000	94000	3870000	181500	345500	0	" 3-hydroxyanthranilate 3,4-dioxygenase [Homo sapiens]"
35	361000	0	0	548500	0	0	0	0	0	0	0	0	0	0	0	0	272000	0	729666.6667	0	152733.3333	0	289666.6667	516666.6667	0	0	54333.33333	0	 3-hydroxybutyrate dehydrogenase type 2 [Homo sapiens]
36	98333.33333	0	0	337000	442333.3333	0	0	0	120333.3333	0	0	67666.66667	77333.33333	619266.6667	567000	483333.3333	0	0	0	0	0	0	0	0	0	0	0	0	" 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial isoform 2 precursor [Homo sapiens]"
37	1110000	1053000	347666.6667	1820333.333	2366666.667	440333.3333	1102000	282666.6667	1410000	885000	1946666.667	1546666.667	1144000	1966000	692000	1451000	947666.6667	325000	2096666.667	3813333.333	774000	618000	2706666.667	980666.6667	377333.3333	399666.6667	57666.66667	196533.3333	" 3-ketoacyl-CoA thiolase, mitochondrial [Homo sapiens]"
38	25100	295333.3333	93633.33333	0	443700	75950	66450	84550	0	71333.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" 3-ketoacyl-CoA thiolase, peroxisomal isoform a [Homo sapiens]"
39	0	0	0	0	917666.6667	81666.66667	237333.3333	165666.6667	310666.6667	0	331333.3333	298333.3333	410000	177333.3333	455000	137000	276000	167500	390666.6667	482333.3333	359000	365666.6667	383333.3333	49000	0	252000	96400	181766.6667	 3-mercaptopyruvate sulfurtransferase isoform 1 [Homo sapiens]
40	1813333.333	1566666.667	1426666.667	2040000	1630000	1100000	1150000	1648333.333	1943333.333	1104000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 3-phosphoinositide-dependent protein kinase 1 isoform 1 [Homo sapiens]
41	198566.6667	414666.6667	286433.3333	280666.6667	267666.6667	0	0	0	0	0	0	0	0	0	0	0	113033.3333	18633.33333	190500	216866.6667	152666.6667	174400	139033.3333	17533.33333	14166.66667	112833.3333	0	146150	" 39S ribosomal protein L12, mitochondrial [Homo sapiens]"
42	9876666.667	13080000	11600000	26633333.33	20033333.33	1.20E+07	23933333.33	8703333.333	11076666.67	15533333.33	11800000	12666666.67	8383333.333	6883333.333	8600000	5756666.667	12933333.33	5706666.667	12266666.67	12500000	11616666.67	4983333.333	11466666.67	7836666.667	5863333.333	3620000	1866666.667	3100000	 4-trimethylaminobutyraldehyde dehydrogenase [Homo sapiens]
43	4356666.667	3863333.333	3423333.333	4630000	7400000	3360000	3746666.667	2823333.333	4690000	680000	3123333.333	3206666.667	3830000	3836666.667	2803333.333	1966666.667	2890000	2020000	2886666.667	3023333.333	5090000	2440000	2983333.333	1836666.667	1836666.667	885666.6667	180666.6667	361666.6667	 40S ribosomal protein S10 [Homo sapiens]
44	1329000	1377666.667	1977333.333	1978000	11900000	551666.6667	622333.3333	626000	1920000	1670000	4030000	2393333.333	1141666.667	3050000	3286333.333	1261333.333	1586666.667	2760333.333	3900000	3666666.667	2930000	5370000	1896666.667	846000	516333.3333	503333.3333	156500	340666.6667	 40S ribosomal protein S11 [Homo sapiens]
45	9740000	9903333.333	7356666.667	12033333.33	13600000	13366666.67	5416666.667	9390000	11733333.33	11666666.67	9903333.333	6366666.667	6933333.333	6170000	8883333.333	5716666.667	8403333.333	5060000	6023333.333	9113333.333	6223333.333	7930000	6366666.667	4526666.667	3116666.667	2316666.667	1180000	2310000	 40S ribosomal protein S12 [Homo sapiens]
46	2199666.667	311333.3333	391333.3333	2670000	4693333.333	160666.6667	181000	294666.6667	2626666.667	878000	413333.3333	1561333.333	777333.3333	1880000	364000	214000	705333.3333	488666.6667	1227000	1487000	4743333.333	1136666.667	2420000	779000	108266.6667	33333.33333	204166.6667	109833.3333	 40S ribosomal protein S13 [Homo sapiens]
47	2723333.333	2183333.333	1736666.667	2596666.667	3540000	641333.3333	857000	887666.6667	1813333.333	4193333.333	1600666.667	1532666.667	1092000	1446666.667	1194333.333	1443000	1365333.333	827000	2350000	3030000	3203333.333	1145333.333	989333.3333	1101000	485666.6667	499000	231000	420333.3333	 40S ribosomal protein S15 [Homo sapiens]
48	1091500	0	0	1170000	4986666.667	3210000	6183333.333	2043333.333	6306666.667	5856666.667	2620000	1900000	3063333.333	3410000	2943333.333	1430000	4700000	1135666.667	2793333.333	3416666.667	5266666.667	3460000	3206666.667	2156666.667	1688666.667	921666.6667	718333.3333	485666.6667	 40S ribosomal protein S15a [Homo sapiens]
49	1920000	576000	2591000	3390000	2836666.667	3986666.667	1786666.667	528000	6503333.333	3213333.333	758666.6667	1313333.333	2050000	3790000	671333.3333	466000	5210000	726666.6667	4113333.333	860333.3333	3283333.333	1646666.667	4370000	784666.6667	412666.6667	227333.3333	340333.3333	440333.3333	 40S ribosomal protein S16 [Homo sapiens]
50	5806666.667	6880000	4506666.667	4836666.667	3446666.667	1566666.667	1070000	1196666.667	2106666.667	2756666.667	2823333.333	2306666.667	2713333.333	2736666.667	2440000	3050000	4190000	5630000	2483333.333	3693333.333	3880000	3070000	1556666.667	3183333.333	946333.3333	574333.3333	957666.6667	459000	 40S ribosomal protein S17 [Homo sapiens]
51	5080000	3163333.333	2850000	9290000	7100000	1167000	1560000	1516666.667	5016666.667	11923333.33	1623333.333	1993333.333	1360000	1536666.667	1905666.667	2599333.333	2044666.667	1956666.667	6203333.333	2560000	4613333.333	2816666.667	3910000	2123333.333	510666.6667	1265333.333	518000	594333.3333	 40S ribosomal protein S18 [Homo sapiens]
52	5006666.667	4740000	4823333.333	8053333.333	11633333.33	3903333.333	4066666.667	3903333.333	6220000	11766666.67	5673333.333	4690000	3470000	3506666.667	2656666.667	3863333.333	2543333.333	3833333.333	3493333.333	4683333.333	5746666.667	3173333.333	2496666.667	2873333.333	2246666.667	1057000	1365000	1647000	 40S ribosomal protein S19 [Homo sapiens]
53	19390000	10483333.33	12853333.33	14100000	14100000	8556666.667	1081000	2420000	5776666.667	5890000	13236666.67	7246666.667	1710000	2516666.667	1170000	2603333.333	4890000	3243333.333	2796666.667	5190000	9283333.333	2520000	7090000	3570000	743333.3333	486333.3333	726333.3333	329333.3333	 40S ribosomal protein S2 [Homo sapiens]
54	15100000	12883333.33	12940000	19400000	21333333.33	10163333.33	4983333.333	8610000	16566666.67	14400000	12956666.67	8120000	7866666.667	8976666.667	7543333.333	6256666.667	9600000	6800000	6670000	11433333.33	12900000	6850000	7436666.667	2650000	2660000	1813333.333	744333.3333	2400000	 40S ribosomal protein S20 isoform 2 [Homo sapiens]
55	1943333.333	1834666.667	2770000	3010000	3706666.667	2920000	1318666.667	1870000	1853333.333	2182333.333	5543333.333	943000	1170000	1603333.333	601666.6667	1314666.667	1486666.667	1702666.667	1393333.333	1195666.667	867333.3333	794666.6667	1048000	864000	758666.6667	155000	76900	62500	 40S ribosomal protein S21 [Homo sapiens]
56	0	0	0	0	0	0	0	0	0	0	0	0	833000	420000	0	0	131000	0	0	0	0	1034333.333	0	0	0	0	0	0	 40S ribosomal protein S23 [Homo sapiens]
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6466.666667	19633.33333	75166.66667	0	0	0	0	0	0	0	 40S ribosomal protein S24 isoform e [Homo sapiens]
58	0	0	0	0	5690000	1626666.667	1271666.667	2183333.333	3820000	7826666.667	106333.3333	558333.3333	284800	654666.6667	103000	0	0	0	158666.6667	157666.6667	643666.6667	139000	2443333.333	1196333.333	986666.6667	376333.3333	479000	1596666.667	 40S ribosomal protein S25 [Homo sapiens]
59	1910000	1275000	961000	1383333.333	970000	834500	484333.3333	0	1406666.667	429333.3333	338533.3333	1282666.667	542333.3333	870000	564333.3333	0	1740000	891666.6667	1021333.333	1032000	1970000	1005666.667	1736666.667	645000	0	144200	166500	180300	 40S ribosomal protein S26 [Homo sapiens]
60	326500	543000	0	334333.3333	0	0	0	0	0	0	0	354333.3333	0	195333.3333	0	0	222000	0	0	506000	613666.6667	0	0	0	0	0	0	0	 40S ribosomal protein S27-like [Homo sapiens]
61	0	0	0	0	587000	410500	474000	0	509333.3333	624000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 40S ribosomal protein S27 [Homo sapiens]
62	3696666.667	3553333.333	3020000	4030000	5883333.333	3740000	3060000	2926666.667	3656666.667	6333333.333	3723333.333	2580000	2620000	2996666.667	1636666.667	2336666.667	2480000	2440000	2530000	3453333.333	2893333.333	2003333.333	1773333.333	1826666.667	1466666.667	882000	531000	621333.3333	 40S ribosomal protein S28 [Homo sapiens]
63	1093333.333	1108666.667	1015333.333	1250000	1813333.333	996333.3333	788333.3333	786666.6667	973666.6667	1913333.333	840333.3333	615000	459000	512000	541000	511000	853333.3333	459333.3333	719333.3333	993666.6667	1014666.667	579666.6667	333666.6667	460666.6667	284333.3333	200333.3333	181000	271000	 40S ribosomal protein S29 isoform 1 [Homo sapiens]
64	6616666.667	1028000	1949666.667	4456666.667	7286666.667	6313333.333	12590000	3136666.667	8576666.667	5213333.333	2944666.667	3020000	7300000	8070000	1600000	520666.6667	13400000	679333.3333	8566666.667	3186666.667	6550000	2103333.333	9806666.667	345333.3333	2926666.667	714333.3333	2053333.333	863333.3333	 40S ribosomal protein S3 isoform 1 [Homo sapiens]
65	6940000	8466666.667	4506666.667	10573333.33	9180000	4766666.667	2021000	3840000	11250000	13473333.33	7670000	8093333.333	5376666.667	6380000	5396666.667	2950000	5556666.667	5570000	6710000	6426666.667	9683333.333	7326666.667	6250000	3923333.333	1628333.333	882666.6667	675000	1039666.667	 40S ribosomal protein S3a isoform 1 [Homo sapiens]
66	6096666.667	2905000	4723333.333	8433333.333	13566666.67	4230000	3790000	2553333.333	19866666.67	11150000	7430000	9853333.333	7610000	9936666.667	2923333.333	1643333.333	4323333.333	3493333.333	8123333.333	4023333.333	12766666.67	7103333.333	13950000	3180000	2112000	2150000	775333.3333	1776666.667	" 40S ribosomal protein S4, X isoform X isoform [Homo sapiens]"
67	2459333.333	2263333.333	1253666.667	2240000	4230000	1176333.333	1109666.667	887666.6667	3196666.667	2479666.667	1390666.667	1799000	2073333.333	1746666.667	1280000	695333.3333	2963333.333	1060333.333	932666.6667	3166666.667	3443333.333	977000	872000	1128333.333	149950	993000	462333.3333	502000	 40S ribosomal protein S5 [Homo sapiens]
68	5150000	5306666.667	8575000	6663333.333	5696666.667	5170000	3596666.667	0	7600000	5190000	3723333.333	3555000	6013333.333	4580000	858666.6667	3533333.333	1050000	3473333.333	4260000	4303333.333	3596666.667	1320000	1586666.667	2886666.667	1493166.667	1393333.333	0	1060000	 40S ribosomal protein S6 [Homo sapiens]
69	7723333.333	7270000	5673333.333	12833333.33	23266666.67	8753333.333	8276666.667	5533333.333	14133333.33	26533333.33	7246666.667	7213333.333	6146666.667	4633333.333	6036666.667	3566666.667	11723333.33	3706666.667	7453333.333	7313333.333	11956666.67	4593333.333	6330000	3363333.333	3526666.667	2466666.667	2903333.333	2436666.667	 40S ribosomal protein S7 [Homo sapiens]
70	0	0	0	0	0	0	0	0	3890666.667	0	0	0	0	0	0	0	0	0	0	0	739333.3333	0	0	0	0	0	0	0	 40S ribosomal protein S8 [Homo sapiens]
71	22833333.33	24933333.33	19833333.33	35133333.33	37900000	25400000	18633333.33	18633333.33	30100000	31966666.67	24366666.67	18866666.67	16266666.67	15133333.33	14966666.67	15433333.33	16966666.67	13800000	15200000	21166666.67	2.20E+07	14066666.67	16266666.67	11833333.33	9826666.667	6263333.333	3233333.333	6163333.333	 40S ribosomal protein SA [Homo sapiens]
72	160500	136333.3333	0	336000	623666.6667	115866.6667	17666.66667	107333.3333	136000	0	133666.6667	446000	137466.6667	79433.33333	32633.33333	91300	87700	17666.66667	1097500	129433.3333	84750	84566.66667	85933.33333	0	0	27800	0	0	 5'-nucleotidase domain-containing protein 1 [Homo sapiens]
73	906333.3333	1390000	1417000	2036666.667	2686666.667	1049666.667	959333.3333	804666.6667	1414333.333	2003333.333	979000	2446666.667	1230666.667	876666.6667	1210000	1214000	434666.6667	1194333.333	1886666.667	911000	1224333.333	617666.6667	697666.6667	807666.6667	618000	451000	566333.3333	821666.6667	 5'-nucleotidase isoform 1 preproprotein [Homo sapiens]
74	0	0	0	0	283500	0	0	0	0	337666.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" 5'(3')-deoxyribonucleotidase, cytosolic type isoform 1 [Homo sapiens]"
75	0	0	0	0	0	0	7923333.333	3347000	0	0	0	1073333.333	1326666.667	3425000	1266500	1360000	0	0	0	0	0	0	0	0	0	0	0	0	 5-azacytidine-induced protein 1 isoform a [Homo sapiens]
76	0	0	0	679666.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 5-hydroxytryptamine receptor 1B [Homo sapiens]
77	0	0	0	0	0	0	0	0	0	0	2866666.667	0	0	0	0	0	0	0	981666.6667	666000	0	5.00E+05	875500	538333.3333	0	821500	0	1780000	" 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 isoform 1 [Homo sapiens]"
78	1586666.667	1087000	851333.3333	1352333.333	1403333.333	1341000	1720000	1.00E+06	1263333.333	2473333.333	1390000	1065000	796333.3333	1323000	1070000	2443333.333	2510000	1119000	1323333.333	1333333.333	1460000	809000	1063333.333	468000	934000	434666.6667	401000	358066.6667	 6-phosphofructokinase type C isoform 1 [Homo sapiens]
79	0	0	0	0	224333.3333	0	1319666.667	0	926666.6667	0	0	0	0	0	0	0	1502000	0	0	0	221500	0	0	0	572866.6667	0	378000	0	" 6-phosphofructokinase, liver type isoform b [Homo sapiens]"
80	8943333.333	7226666.667	7046666.667	9920000	16500000	4990000	5843333.333	5020000	7336666.667	12900000	4676666.667	4280000	3836666.667	4326666.667	3800000	3660000	6210000	3126666.667	4766666.667	6703333.333	6540000	2496666.667	3070000	2753333.333	1536666.667	1376666.667	995333.3333	1109000	" 6-phosphogluconate dehydrogenase, decarboxylating [Homo sapiens]"
81	3266666.667	3086666.667	2546666.667	5343333.333	5910000	3426666.667	1192666.667	3888000	4236666.667	5400000	1816666.667	3700000	999333.3333	727333.3333	2036666.667	1233333.333	3536666.667	1704000	1513333.333	5876666.667	5926666.667	1796666.667	1726666.667	1510000	374666.6667	829000	678666.6667	468666.6667	 6-phosphogluconolactonase [Homo sapiens]
82	0	0	0	0	142933.3333	41000	0	0	0	0	0	0	0	0	0	0	0	0	0	60400	32900	0	0	0	0	0	0	0	 6-pyruvoyl tetrahydrobiopterin synthase [Homo sapiens]
83	2800000	2163333.333	1550000	3986666.667	2626666.667	1783333.333	2446666.667	2840000	1386666.667	4623333.333	1483333.333	2216666.667	2393333.333	1966666.667	2540000	2703333.333	1873333.333	2033333.333	2020000	3443333.333	3593333.333	2693333.333	2600000	1876666.667	1230000	202333.3333	108666.6667	457333.3333	 6.8 kDa mitochondrial proteolipid isoform 2 [Homo sapiens]
84	9843333.333	9506666.667	10276666.67	6470000	10950000	10206666.67	6023333.333	7746666.667	5860000	25866666.67	6533333.333	8476666.667	5396666.667	4366666.667	8426666.667	4183333.333	7120000	7373333.333	4316666.667	5080000	5300000	4493333.333	6133333.333	5153333.333	1586666.667	1700000	1170000	1853333.333	" 60 kDa heat shock protein, mitochondrial [Homo sapiens]"
85	2365333.333	0	4625000	251633.3333	245333.3333	463333.3333	65666.66667	0	474000	5225000	1500766.667	215500	783000	138300	43333.33333	0	133500	0	265666.6667	168333.3333	196600	67333.33333	135200	82650	90966.66667	16166.66667	71000	12166.66667	 60 kDa SS-A/Ro ribonucleoprotein isoform 1 [Homo sapiens]
86	2073333.333	2843333.333	2030000	4070000	5216666.667	5906666.667	3220000	3950000	6480000	4923333.333	13200000	6930000	9203333.333	8593333.333	8343333.333	6243333.333	9706666.667	5700000	8920000	11800000	11833333.33	4943333.333	7153333.333	3103333.333	4520000	3540000	2276666.667	3610000	 60S acidic ribosomal protein P0 [Homo sapiens]
87	6556666.667	10433333.33	6370000	4540000	9200000	5996666.667	3336666.667	5166666.667	4523333.333	0	4850000	2573333.333	4620000	5146666.667	6086666.667	3340000	2795000	0	833333.3333	6176666.667	2440000	0	4280000	2447666.667	2053333.333	652666.6667	0	61666.66667	 60S acidic ribosomal protein P1 isoform 1 [Homo sapiens]
88	20300000	23400000	18433333.33	31033333.33	39533333.33	25333333.33	15900000	19033333.33	26733333.33	31866666.67	28060000	15980000	14986666.67	16006666.67	14093333.33	15033333.33	7483333.333	4420000	5266666.667	7866666.667	5703333.333	4426666.667	12410000	9420000	5813333.333	5293333.333	1754333.333	4569000	 60S acidic ribosomal protein P2 [Homo sapiens]
89	256000	0	0	505000	0	0	0	0	0	0	0	723333.3333	0	499333.3333	0	0	49333.33333	152000	68666.66667	186333.3333	1205000	413000	626000	162000	0	0	360333.3333	0	 60S ribosomal protein L10 isoform a [Homo sapiens]
